date,units,tavg,preciptotal,rolling_mean,rolling_min,rolling_max,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,is_weekend,holiday,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6,day_of_week_7,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_of_month_1,day_of_month_2,day_of_month_3,day_of_month_4,day_of_month_5,day_of_month_6,day_of_month_7,day_of_month_8,day_of_month_9,day_of_month_10,day_of_month_11,day_of_month_12,day_of_month_13,day_of_month_14,day_of_month_15,day_of_month_16,day_of_month_17,day_of_month_18,day_of_month_19,day_of_month_20,day_of_month_21,day_of_month_22,day_of_month_23,day_of_month_24,day_of_month_25,day_of_month_26,day_of_month_27,day_of_month_28,day_of_month_29,day_of_month_30,day_of_month_31
2012-02-10,874,41.166666666666664,0.044736842105263165,707.0,517.0,1154.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,617.0,571.0,702.0,882.0,887.0,597.0,617.0,755.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-11,962,31.38888888888889,0.010526315789473684,711.0,517.0,1154.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,617.0,571.0,702.0,882.0,887.0,597.0,617.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-12,1061,27.833333333333332,0.006578947368421052,723.0,517.0,1154.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,617.0,571.0,702.0,882.0,887.0,597.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-13,654,34.77777777777778,0.09842105263157895,738.0,517.0,1154.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,617.0,571.0,702.0,882.0,887.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-14,520,42.72222222222222,0.010789473684210528,730.0,517.0,1154.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,617.0,571.0,702.0,882.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-15,646,49.94444444444444,0.05552631578947368,718.0,517.0,1154.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,617.0,571.0,702.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-16,519,47.388888888888886,0.01973684210526316,716.0,517.0,1154.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,617.0,571.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-17,599,47.77777777777778,0.11710526315789467,715.0,517.0,1154.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,617.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-18,625,45.166666666666664,0.4081578947368421,714.0,517.0,1154.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,569.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-19,788,45.77777777777778,0.002631578947368421,716.0,517.0,1154.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,698.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-20,646,44.611111111111114,0.02947368421052632,719.0,517.0,1154.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,803.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-02-21,509,45.666666666666664,0.007631578947368422,714.0,517.0,1154.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,808.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-02-22,507,54.27777777777778,0.01973684210526316,704.0,509.0,1154.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,636.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-02-23,556,55.333333333333336,0.04157894736842106,699.0,507.0,1154.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,595.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-02-24,471,45.27777777777778,0.21289473684210525,698.0,507.0,1154.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,518.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-02-25,567,42.888888888888886,0.002105263157894737,697.0,471.0,1154.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,559.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012-02-26,757,44.111111111111114,0.030263157894736846,697.0,471.0,1154.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,608.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-02-27,567,49.888888888888886,0.032105263157894734,702.0,471.0,1154.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,754.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-02-28,549,53.111111111111114,0.060263157894736845,696.0,471.0,1154.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,791.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-02-29,492,52.05555555555556,0.11921052631578946,687.0,471.0,1154.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,520.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012-03-01,758,51.77777777777778,0.13157894736842105,687.0,471.0,1154.0,492.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,517.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-02,683,49.388888888888886,0.03684210526315789,695.0,471.0,1154.0,758.0,492.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,911.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-03,897,47.27777777777778,0.11236842105263155,687.0,471.0,1154.0,683.0,758.0,492.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,680.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-04,824,45.64705882352941,0.08105263157894738,694.0,471.0,1154.0,897.0,683.0,758.0,492.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,896.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-05,956,47.44444444444444,0.0002631578947368421,692.0,471.0,1154.0,824.0,897.0,683.0,758.0,492.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,893.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-06,691,52.22222222222222,0.0,694.0,471.0,1154.0,956.0,824.0,897.0,683.0,758.0,492.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,1154.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-07,574,59.23529411764706,0.008947368421052631,678.0,471.0,1061.0,691.0,956.0,824.0,897.0,683.0,758.0,492.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,735.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-08,592,54.611111111111114,0.18105263157894735,673.0,471.0,1061.0,574.0,691.0,956.0,824.0,897.0,683.0,758.0,492.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,661.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-09,595,48.529411764705884,0.18999999999999997,671.0,471.0,1061.0,592.0,574.0,691.0,956.0,824.0,897.0,683.0,758.0,492.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,613.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-10,942,47.72222222222222,0.2210526315789474,670.0,471.0,1061.0,595.0,592.0,574.0,691.0,956.0,824.0,897.0,683.0,758.0,492.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,667.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-11,894,54.333333333333336,0.27710526315789474,679.0,471.0,1061.0,942.0,595.0,592.0,574.0,691.0,956.0,824.0,897.0,683.0,758.0,492.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,874.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-12,761,61.0,0.06947368421052631,680.0,471.0,1061.0,894.0,942.0,595.0,592.0,574.0,691.0,956.0,824.0,897.0,683.0,758.0,492.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,962.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-13,559,64.16666666666667,0.016578947368421054,673.0,471.0,1061.0,761.0,894.0,942.0,595.0,592.0,574.0,691.0,956.0,824.0,897.0,683.0,758.0,492.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,1061.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-14,567,65.75,0.017631578947368422,657.0,471.0,956.0,559.0,761.0,894.0,942.0,595.0,592.0,574.0,691.0,956.0,824.0,897.0,683.0,758.0,492.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,654.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-15,581,62.05555555555556,0.001842105263157895,654.0,471.0,956.0,567.0,559.0,761.0,894.0,942.0,595.0,592.0,574.0,691.0,956.0,824.0,897.0,683.0,758.0,492.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,520.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-16,643,61.94444444444444,0.016578947368421054,656.0,471.0,956.0,581.0,567.0,559.0,761.0,894.0,942.0,595.0,592.0,574.0,691.0,956.0,824.0,897.0,683.0,758.0,492.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,646.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-17,694,64.55555555555556,0.001842105263157895,656.0,471.0,956.0,643.0,581.0,567.0,559.0,761.0,894.0,942.0,595.0,592.0,574.0,691.0,956.0,824.0,897.0,683.0,758.0,492.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,519.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-18,780,66.38888888888889,0.001842105263157895,661.0,471.0,956.0,694.0,643.0,581.0,567.0,559.0,761.0,894.0,942.0,595.0,592.0,574.0,691.0,956.0,824.0,897.0,683.0,758.0,492.0,549.0,567.0,757.0,567.0,471.0,556.0,507.0,509.0,646.0,788.0,625.0,599.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
